state,x,y,abrev
RIO GRANDE DO SUL,30,-285,RS
SANTA CATARINA,69,-241,SC
PARANA,45,-193,PR
SAO PAULO,107,-159,SP
RIO DE JANEIRO,194,-160,RJ
ESPIRITO SANTO,232,-114,ES
MINAS GERAIS,161,-89,MG
BAHIA,237,32,BA
SERGIPE,301,51,SE
ALAGOAS,323,70,AL
PERNAMBUCO,331,91,PE
PARAIBA,333,120,PB
RIO GRANDE DO NORTE,333,139,RN
CEARA,272,155,CE
PIAUI,186,106,PI
MARANHAO,144,107,MA
MATO GROSSO DO SUL,-7,-102,MS
MATO GROSSO,-33,4,MT
GOIAIS,68,-49,GO
DISTRITO FEDERAL,115,-30,DF
TOCANTINS,110,59,TO
PARA,15,162,PA
AMAPA,44,280,AP
RONDONIA,-161,63,RO
AMAZONAS,-149,173,AM
RORAIMA,-120,284,RR
ACRE,-277,69,AC
